Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Moong(Green Gram),1998,Autumn     ,Odisha,21845.0,5123.0,1357.1,2158286.0,6335.05,0.174210526
Moong(Green Gram),1998,Summer     ,Odisha,92720.0,22077.0,1357.1,9160736.0,26888.8,0.253793103
Moong(Green Gram),1998,Winter     ,Odisha,106933.0,17537.0,1357.1,10564980.4,31010.57,0.136296296
Potato,1998,Winter     ,Odisha,7955.0,92624.0,1357.1,785954.0,2306.95,9.830666667
Ragi,1998,Autumn     ,Odisha,41039.0,27015.0,1357.1,4054653.2,11901.31,0.408
Ragi,1998,Summer     ,Odisha,861.0,596.0,1357.1,85066.8,249.69,0.476363636
Ragi,1998,Winter     ,Odisha,39112.0,24271.0,1357.1,3864265.6,11342.48,0.539047619
Rapeseed &Mustard,1998,Winter     ,Odisha,19021.0,2376.0,1357.1,1879274.8,5516.09,0.113
Rice,1998,Autumn     ,Odisha,819731.0,501365.0,1357.1,80989422.8,237721.99,0.837666667
Rice,1998,Summer     ,Odisha,268081.0,506455.0,1357.1,26486402.8,77743.49,1.582666667
Rice,1998,Winter     ,Odisha,3358901.0,4383502.0,1357.1,331859418.8,974081.29,1.342333333
Sesamum,1998,Autumn     ,Odisha,7694.0,1269.0,1357.1,760167.2,2231.26,0.182941176
Sesamum,1998,Summer     ,Odisha,7864.0,1683.0,1357.1,776963.2,2280.56,0.203703704
Sesamum,1998,Winter     ,Odisha,37995.0,6669.0,1357.1,3753906.0,11018.55,0.1668
Sugarcane,1998,Winter     ,Odisha,22325.0,1469529.0,1357.1,2205710.0,6474.25,58.57666667
Urad,1998,Autumn     ,Odisha,35494.0,9030.0,1357.1,3506807.2,10293.26,0.1888
Urad,1998,Summer     ,Odisha,2544.0,529.0,1357.1,251347.2,737.76,0.240454545
Urad,1998,Winter     ,Odisha,100561.0,28577.0,1357.1,9935426.8,29162.69,0.222666667
Wheat,1998,Summer     ,Odisha,3868.0,4441.0,1357.1,382158.4,1121.72,1.108
Arhar/Tur,1999,Kharif     ,Odisha,136080.0,85500.0,1484.3,14442170.4,36741.6,0.642
Bajra,1999,Kharif     ,Odisha,4010.0,2350.0,1484.3,425581.3,1082.7,0.586363636
Castor seed,1999,Kharif     ,Odisha,12160.0,6260.0,1484.3,1290540.8,3283.2,0.5032
Castor seed,1999,Rabi       ,Odisha,9720.0,4800.0,1484.3,1031583.6,2624.4,0.649230769
Coriander,1999,Rabi       ,Odisha,25170.0,10330.0,1484.3,2671292.1,6795.9,0.439655172
Cotton(lint),1999,Kharif     ,Odisha,38120.0,61030.0,1484.3,4045675.6,10292.4,1.215714286
Dry chillies,1999,Kharif     ,Odisha,44090.0,38300.0,1484.3,4679271.7,11904.3,0.832
Dry chillies,1999,Rabi       ,Odisha,57420.0,49620.0,1484.3,6093984.6,15503.4,0.827333333
Garlic,1999,Rabi       ,Odisha,17610.0,52280.0,1484.3,1868949.3,4754.7,2.941
Ginger,1999,Kharif     ,Odisha,13070.0,25930.0,1484.3,1387119.1,3528.9,1.975714286
Gram,1999,Rabi       ,Odisha,33610.0,20310.0,1484.3,3567029.3,9074.7,0.513703704
Groundnut,1999,Kharif     ,Odisha,100440.0,103490.0,1484.3,10659697.2,27118.8,1.105555556
Groundnut,1999,Rabi       ,Odisha,150020.0,256770.0,1484.3,15921622.6,40505.4,1.517857143
Horse-gram,1999,Rabi       ,Odisha,290330.0,96910.0,1484.3,30812722.9,78389.1,0.330869565
Jowar,1999,Kharif     ,Odisha,13760.0,8280.0,1484.3,1460348.8,3715.2,0.582
Jute,1999,Kharif     ,Odisha,13890.0,91740.0,1484.3,1474145.7,3750.3,5.435
Linseed,1999,Rabi       ,Odisha,27450.0,10590.0,1484.3,2913268.5,7411.5,0.516470588
Maize,1999,Kharif     ,Odisha,165330.0,206370.0,1484.3,17546472.9,44639.1,1.160333333
Maize,1999,Rabi       ,Odisha,8270.0,10280.0,1484.3,877695.1,2232.9,1.395357143
Masoor,1999,Rabi       ,Odisha,15610.0,7360.0,1484.3,1656689.3,4214.7,0.401666667
Mesta,1999,Kharif     ,Odisha,30370.0,129640.0,1484.3,3223168.1,8199.9,3.855555556
Moong(Green Gram),1999,Kharif     ,Odisha,149000.0,51470.0,1484.3,15813370.0,40230.0,0.355384615
Moong(Green Gram),1999,Rabi       ,Odisha,441000.0,175720.0,1484.3,46803330.0,119070.0,0.371333333
Niger seed,1999,Kharif     ,Odisha,118030.0,38670.0,1484.3,12526523.9,31868.1,0.376428571
Niger seed,1999,Rabi       ,Odisha,19010.0,7020.0,1484.3,2017531.3,5132.7,0.397142857
Onion,1999,Whole Year ,Odisha,46400.0,368350.0,1484.3,4924432.0,12528.0,7.043
Potato,1999,Whole Year ,Odisha,8740.0,91050.0,1484.3,927576.2,2359.8,9.781851852
Ragi,1999,Kharif     ,Odisha,202170.0,146790.0,1484.3,21456302.1,54585.9,0.615357143
Ragi,1999,Rabi       ,Odisha,6790.0,6860.0,1484.3,720622.7,1833.3,0.783636364
Rapeseed &Mustard,1999,Rabi       ,Odisha,125200.0,41040.0,1484.3,13287476.0,33804.0,0.338333333
Rice,1999,Autumn     ,Odisha,797000.0,743000.0,1484.3,84585610.0,215190.0,0.971333333
Rice,1999,Summer     ,Odisha,381810.0,912040.0,1484.3,40521495.3,103088.7,2.073333333
Rice,1999,Winter     ,Odisha,3423000.0,3532000.0,1484.3,363282990.0,924210.0,1.142666667
Safflower,1999,Rabi       ,Odisha,2400.0,1150.0,1484.3,254712.0,648.0,0.374
Sannhamp,1999,Whole Year ,Odisha,11450.0,37050.0,1484.3,1215188.5,3091.5,3.852
Sesamum,1999,Kharif     ,Odisha,203000.0,64050.0,1484.3,21544390.0,54810.0,0.362857143
Sesamum,1999,Rabi       ,Odisha,73980.0,26690.0,1484.3,7851497.4,19974.6,0.372857143
Small millets,1999,Kharif     ,Odisha,41960.0,18850.0,1484.3,4453214.8,11329.2,0.417894737
Soyabean,1999,Kharif     ,Odisha,60.0,10.0,1484.3,6367.8,16.2,0.17
Sugarcane,1999,Winter     ,Odisha,30970.0,1826930.0,1484.3,3286846.1,8361.9,60.69166667
Sunflower,1999,Kharif     ,Odisha,570.0,330.0,1484.3,60494.1,153.9,0.476666667
Sunflower,1999,Rabi       ,Odisha,8780.0,7120.0,1484.3,931821.4,2370.6,0.71962963
Sweet potato,1999,Kharif     ,Odisha,34100.0,292450.0,1484.3,3619033.0,9207.0,8.429642857
Sweet potato,1999,Rabi       ,Odisha,9780.0,68770.0,1484.3,1037951.4,2640.6,7.766153846
Tobacco,1999,Whole Year ,Odisha,7430.0,4590.0,1484.3,788545.9,2006.1,0.558181818
Turmeric,1999,Kharif     ,Odisha,28120.0,61180.0,1484.3,2984375.6,7592.4,1.9832
Urad,1999,Kharif     ,Odisha,198000.0,71940.0,1484.3,21013740.0,53460.0,0.386666667
Urad,1999,Rabi       ,Odisha,285970.0,105570.0,1484.3,30349996.1,77211.9,0.366333333
Wheat,1999,Rabi       ,Odisha,18540.0,24850.0,1484.3,1967650.2,5005.8,1.351333333
Arhar/Tur,2000,Kharif     ,Odisha,149140.0,97170.0,1066.0,14641073.8,38776.4,0.639666667
Arhar/Tur,2000,Rabi       ,Odisha,50.0,30.0,1066.0,4908.5,13.0,0.585
Bajra,2000,Kharif     ,Odisha,4120.0,2350.0,1066.0,404460.4,1071.2,0.564
Castor seed,2000,Kharif     ,Odisha,9710.0,5050.0,1066.0,953230.7,2524.6,0.5196
Castor seed,2000,Rabi       ,Odisha,8650.0,3940.0,1066.0,849170.5,2249.0,0.506923077
Coriander,2000,Whole Year ,Odisha,13370.0,6550.0,1066.0,1312532.9,3476.2,0.482222222
Cotton(lint),2000,Kharif     ,Odisha,39160.0,65090.0,1066.0,3844337.2,10181.6,1.654
Dry chillies,2000,Whole Year ,Odisha,69650.0,58950.0,1066.0,6837540.5,18109.0,0.838
Garlic,2000,Whole Year ,Odisha,9000.0,28280.0,1066.0,883530.0,2340.0,3.123
Ginger,2000,Kharif     ,Odisha,12060.0,23840.0,1066.0,1183930.2,3135.6,1.962142857
Gram,2000,Rabi       ,Odisha,20630.0,12760.0,1066.0,2025247.1,5363.8,0.528666667
Groundnut,2000,Kharif     ,Odisha,72357.0,57475.0,1066.0,7103286.69,18812.82,0.885666667
Horse-gram,2000,Kharif     ,Odisha,75996.0,14594.0,1066.0,7460527.32,19758.96,0.217931034
Jowar,2000,Kharif     ,Odisha,13000.0,7480.0,1066.0,1276210.0,3380.0,0.598
Jute,2000,Kharif     ,Odisha,13850.0,106680.0,1066.0,1359654.5,3601.0,5.8825
Linseed,2000,Rabi       ,Odisha,20630.0,7460.0,1066.0,2025247.1,5363.8,0.361875
Maize,2000,Kharif     ,Odisha,54371.0,68866.0,1066.0,5337601.07,14136.46,0.8808
Mesta,2000,Kharif     ,Odisha,23880.0,102620.0,1066.0,2344299.6,6208.8,3.9072
Moong(Green Gram),2000,Kharif     ,Odisha,147440.0,29290.0,1066.0,14474184.8,38334.4,0.21
Niger seed,2000,Kharif     ,Odisha,126530.0,29980.0,1066.0,12421450.1,32897.8,0.342307692
Niger seed,2000,Rabi       ,Odisha,31500.0,9030.0,1066.0,3092355.0,8190.0,0.384545455
Onion,2000,Whole Year ,Odisha,27400.0,229420.0,1066.0,2689858.0,7124.0,7.385666667
Other  Rabi pulses,2000,Rabi       ,Odisha,2180.0,1090.0,1066.0,214010.6,566.8,0.514444444
Other Kharif pulses,2000,Kharif     ,Odisha,26610.0,14510.0,1066.0,2612303.7,6918.6,0.520714286
Potato,2000,Whole Year ,Odisha,8251.0,85872.0,1066.0,810000.67,2145.26,9.321071429
Ragi,2000,Kharif     ,Odisha,83981.0,46554.0,1066.0,8244414.77,21835.06,0.424230769
Rapeseed &Mustard,2000,Rabi       ,Odisha,12395.0,1649.0,1066.0,1216817.15,3222.7,0.132758621
Rice,2000,Autumn     ,Odisha,854570.0,464250.0,1066.0,83893136.9,222188.2,0.733666667
Rice,2000,Summer     ,Odisha,206730.0,441540.0,1066.0,20294684.1,53749.8,1.685333333
Rice,2000,Winter     ,Odisha,3372220.0,3707590.0,1066.0,331050837.4,876777.2,1.020666667
Safflower,2000,Rabi       ,Odisha,1390.0,780.0,1066.0,136456.3,361.4,0.546
Sannhamp,2000,Whole Year ,Odisha,11160.0,42290.0,1066.0,1095577.2,2901.6,4.0725
Sesamum,2000,Kharif     ,Odisha,50502.0,6737.0,1066.0,4957781.34,13130.52,0.182
Small millets,2000,Kharif     ,Odisha,40520.0,15630.0,1066.0,3977848.4,10535.2,0.411666667
Sugarcane,2000,Whole Year ,Odisha,16775.0,963917.0,1066.0,1646801.75,4361.5,51.06793103
Sunflower,2000,Kharif     ,Odisha,830.0,480.0,1066.0,81481.1,215.8,0.58
Sunflower,2000,Rabi       ,Odisha,4250.0,3110.0,1066.0,417222.5,1105.0,0.643928571
Sweet potato,2000,Whole Year ,Odisha,37670.0,272050.0,1066.0,3698063.9,9794.2,7.797666667
Tobacco,2000,Whole Year ,Odisha,3380.0,1560.0,1066.0,331814.6,878.8,0.454166667
Turmeric,2000,Whole Year ,Odisha,25310.0,60630.0,1066.0,2484682.7,6580.6,2.341923077
Urad,2000,Kharif     ,Odisha,109101.0,27258.0,1066.0,10710445.17,28366.26,0.215666667
Wheat,2000,Rabi       ,Odisha,8819.0,12904.0,1066.0,865761.23,2292.94,1.201538462
Arhar/Tur,2001,Kharif     ,Odisha,126080.0,81340.0,1672.5,12876550.4,32780.8,0.696666667
Arhar/Tur,2001,Rabi       ,Odisha,290.0,160.0,1672.5,29617.7,75.4,0.616666667
Bajra,2001,Kharif     ,Odisha,4010.0,2270.0,1672.5,409541.3,1042.6,0.555
Castor seed,2001,Kharif     ,Odisha,8670.0,4310.0,1672.5,885467.1,2254.2,0.520909091
Castor seed,2001,Rabi       ,Odisha,9220.0,5020.0,1672.5,941638.6,2397.2,0.5328
Coriander,2001,Whole Year ,Odisha,12910.0,5970.0,1672.5,1318498.3,3356.6,0.449666667
Dry chillies,2001,Whole Year ,Odisha,70030.0,59180.0,1672.5,7152163.9,18207.8,0.844666667
Garlic,2001,Whole Year ,Odisha,8950.0,28280.0,1672.5,914063.5,2327.0,3.164666667
Ginger,2001,Kharif     ,Odisha,13040.0,25210.0,1672.5,1331775.2,3390.4,1.808666667
Gram,2001,Rabi       ,Odisha,29520.0,19180.0,1672.5,3014877.6,7675.2,0.514642857
Groundnut,2001,Kharif     ,Odisha,61067.0,59904.0,1672.5,6236772.71,15877.42,0.966666667
Horse-gram,2001,Kharif     ,Odisha,91171.0,28017.0,1672.5,9311294.23,23704.46,0.315172414
Jowar,2001,Kharif     ,Odisha,12260.0,7090.0,1672.5,1252113.8,3187.6,0.607894737
Jute,2001,Kharif     ,Odisha,4612.0,37776.0,1672.5,471023.56,1199.12,8.092222222
Linseed,2001,Rabi       ,Odisha,23080.0,8530.0,1672.5,2357160.4,6000.8,0.355333333
Maize,2001,Kharif     ,Odisha,51428.0,46658.0,1672.5,5252341.64,13371.28,0.714615385
Masoor,2001,Rabi       ,Odisha,8790.0,3250.0,1672.5,897722.7,2285.4,0.364
Moong(Green Gram),2001,Kharif     ,Odisha,212511.0,51097.0,1672.5,21703748.43,55252.86,0.235666667
Niger seed,2001,Kharif     ,Odisha,115170.0,26960.0,1672.5,11762312.1,29944.2,0.283076923
Niger seed,2001,Rabi       ,Odisha,28290.0,8860.0,1672.5,2889257.7,7355.4,0.365833333
Onion,2001,Whole Year ,Odisha,19410.0,173430.0,1672.5,1982343.3,5046.6,8.714333333
Other  Rabi pulses,2001,Rabi       ,Odisha,35620.0,21120.0,1672.5,3637870.6,9261.2,0.62
Other Kharif pulses,2001,Kharif     ,Odisha,21440.0,10630.0,1672.5,2189667.2,5574.4,0.47125
Potato,2001,Whole Year ,Odisha,7580.0,78049.0,1672.5,774145.4,1970.8,9.565714286
Ragi,2001,Kharif     ,Odisha,76262.0,45077.0,1672.5,7788638.06,19828.12,0.489166667
Rapeseed &Mustard,2001,Rabi       ,Odisha,14159.0,2224.0,1672.5,1446058.67,3681.34,0.139310345
Rice,2001,Kharif     ,Odisha,4500000.0,7220000.0,1672.5,459585000.0,1170000.0,1.583666667
Safflower,2001,Rabi       ,Odisha,3950.0,2190.0,1672.5,403413.5,1027.0,0.4905
Sesamum,2001,Kharif     ,Odisha,51573.0,11341.0,1672.5,5267150.49,13408.98,0.225
Small millets,2001,Kharif     ,Odisha,42360.0,20120.0,1672.5,4326226.8,11013.6,0.426875
Sugarcane,2001,Whole Year ,Odisha,10988.0,644007.0,1672.5,1122204.44,2856.88,52.85172414
Sunflower,2001,Kharif     ,Odisha,460.0,200.0,1672.5,46979.8,119.6,0.568
Sunflower,2001,Rabi       ,Odisha,8940.0,6850.0,1672.5,913042.2,2324.4,0.664814815
Sweet potato,2001,Whole Year ,Odisha,38480.0,312850.0,1672.5,3929962.4,10004.8,8.193666667
Tobacco,2001,Whole Year ,Odisha,5680.0,3580.0,1672.5,580098.4,1476.8,0.524
Turmeric,2001,Whole Year ,Odisha,26420.0,59240.0,1672.5,2698274.6,6869.2,2.108
Urad,2001,Kharif     ,Odisha,148934.0,44552.0,1672.5,15210629.42,38722.84,0.255333333
Wheat,2001,Rabi       ,Odisha,6976.0,10565.0,1672.5,712458.88,1813.76,1.1288
Arhar/Tur,2002,Kharif     ,Odisha,114190.0,73450.0,1102.8,10810367.3,28547.5,0.665862069
Arhar/Tur,2002,Rabi       ,Odisha,70.0,50.0,1102.8,6626.9,17.5,0.65
Bajra,2002,Kharif     ,Odisha,3760.0,1820.0,1102.8,355959.2,940.0,0.528333333
Castor seed,2002,Kharif     ,Odisha,7830.0,3610.0,1102.8,741266.1,1957.5,0.463913043
Castor seed,2002,Rabi       ,Odisha,6400.0,2750.0,1102.8,605888.0,1600.0,0.489166667
Coriander,2002,Whole Year ,Odisha,18880.0,8950.0,1102.8,1787369.6,4720.0,0.472333333
Dry chillies,2002,Whole Year ,Odisha,74970.0,62910.0,1102.8,7097409.9,18742.5,0.834333333
Garlic,2002,Whole Year ,Odisha,10700.0,33830.0,1102.8,1012969.0,2675.0,3.16
Ginger,2002,Kharif     ,Odisha,15340.0,29490.0,1102.8,1452237.8,3835.0,1.828
Gram,2002,Rabi       ,Odisha,21040.0,13020.0,1102.8,1991856.8,5260.0,0.489310345
Groundnut,2002,Kharif     ,Odisha,56137.0,48835.0,1102.8,5314489.79,14034.25,0.863
Horse-gram,2002,Kharif     ,Odisha,75952.0,14322.0,1102.8,7190375.84,18988.0,0.222666667
Jowar,2002,Kharif     ,Odisha,11000.0,5720.0,1102.8,1041370.0,2750.0,0.5605
Jute,2002,Kharif     ,Odisha,5610.0,51209.0,1102.8,531098.7,1402.5,8.91875
Linseed,2002,Rabi       ,Odisha,16530.0,5410.0,1102.8,1564895.1,4132.5,0.329285714
Maize,2002,Kharif     ,Odisha,43100.0,42400.0,1102.8,4080277.0,10775.0,0.9248
Masoor,2002,Rabi       ,Odisha,3810.0,1400.0,1102.8,360692.7,952.5,0.36
Moong(Green Gram),2002,Kharif     ,Odisha,168305.0,38348.0,1102.8,15933434.35,42076.25,0.205666667
Niger seed,2002,Kharif     ,Odisha,98060.0,15560.0,1102.8,9283340.2,24515.0,0.247272727
Niger seed,2002,Rabi       ,Odisha,19930.0,5810.0,1102.8,1886773.1,4982.5,0.330909091
Onion,2002,Whole Year ,Odisha,26410.0,238790.0,1102.8,2500234.7,6602.5,8.852666667
Other  Rabi pulses,2002,Rabi       ,Odisha,26900.0,15730.0,1102.8,2546623.0,6725.0,0.592962963
Other Kharif pulses,2002,Kharif     ,Odisha,20790.0,10461.0,1102.8,1968189.3,5197.5,0.455555556
Potato,2002,Whole Year ,Odisha,7076.0,70320.0,1102.8,669884.92,1769.0,8.908214286
Ragi,2002,Kharif     ,Odisha,77095.0,35504.0,1102.8,7298583.65,19273.75,0.387692308
Rapeseed &Mustard,2002,Rabi       ,Odisha,12193.0,1604.0,1102.8,1154311.31,3048.25,0.118333333
Rice,2002,Kharif     ,Odisha,4273000.0,3278000.0,1102.8,404524910.0,1068250.0,0.753333333
Safflower,2002,Rabi       ,Odisha,1250.0,500.0,1102.8,118337.5,312.5,0.51
Sesamum,2002,Kharif     ,Odisha,43471.0,7022.0,1102.8,4115399.57,10867.75,0.203448276
Small millets,2002,Kharif     ,Odisha,30440.0,11440.0,1102.8,2881754.8,7610.0,0.394705882
Sugarcane,2002,Whole Year ,Odisha,14177.0,753194.0,1102.8,1342136.59,3544.25,52.07642857
Sunflower,2002,Kharif     ,Odisha,50.0,30.0,1102.8,4733.5,12.5,0.666666667
Sunflower,2002,Rabi       ,Odisha,3860.0,2610.0,1102.8,365426.2,965.0,0.599655172
Sweet potato,2002,Whole Year ,Odisha,46890.0,384260.0,1102.8,4439076.3,11722.5,8.228666667
Tobacco,2002,Whole Year ,Odisha,4090.0,2600.0,1102.8,387200.3,1022.5,0.522222222
Turmeric,2002,Whole Year ,Odisha,23640.0,33700.0,1102.8,2237998.8,5910.0,2.164827586
Urad,2002,Kharif     ,Odisha,117293.0,27067.0,1102.8,11104128.31,29323.25,0.202333333
Wheat,2002,Rabi       ,Odisha,4627.0,5767.0,1102.8,438038.09,1156.75,1.133636364
Arhar/Tur,2003,Kharif     ,Odisha,136540.0,95590.0,1648.2,13514729.2,32769.6,0.682068966
Bajra,2003,Kharif     ,Odisha,3270.0,1720.0,1648.2,323664.6,784.8,0.538333333
Castor seed,2003,Kharif     ,Odisha,10900.0,5590.0,1648.2,1078882.0,2616.0,0.480769231
Castor seed,2003,Rabi       ,Odisha,6830.0,3050.0,1648.2,676033.4,1639.2,0.486
Coriander,2003,Whole Year ,Odisha,19010.0,9000.0,1648.2,1881609.8,4562.4,0.480666667
Dry chillies,2003,Whole Year ,Odisha,75040.0,63180.0,1648.2,7427459.2,18009.6,0.838666667
Garlic,2003,Whole Year ,Odisha,10850.0,34320.0,1648.2,1073933.0,2604.0,3.144666667
Ginger,2003,Kharif     ,Odisha,15480.0,30020.0,1648.2,1532210.4,3715.2,1.810333333
Gram,2003,Rabi       ,Odisha,28570.0,17670.0,1648.2,2827858.6,6856.8,0.505172414
Groundnut,2003,Kharif     ,Odisha,77176.0,93133.0,1648.2,7638880.48,18522.24,1.084
Horse-gram,2003,Kharif     ,Odisha,87826.0,24752.0,1648.2,8693017.48,21078.24,0.293103448
Jowar,2003,Kharif     ,Odisha,11090.0,6380.0,1648.2,1097688.2,2661.6,0.604
Jute,2003,Kharif     ,Odisha,2590.0,18148.0,1648.2,256358.2,621.6,7.076666667
Linseed,2003,Rabi       ,Odisha,18240.0,7180.0,1648.2,1805395.2,4377.6,0.33
Maize,2003,Kharif     ,Odisha,55549.0,78744.0,1648.2,5498240.02,13331.76,0.887307692
Maize,2003,Rabi       ,Odisha,13760.0,18180.0,1648.2,1361964.8,3302.4,1.32
Masoor,2003,Rabi       ,Odisha,5860.0,2430.0,1648.2,580022.8,1406.4,0.4025
Moong(Green Gram),2003,Kharif     ,Odisha,257261.0,60081.0,1648.2,25463693.78,61742.64,0.229333333
Niger seed,2003,Kharif     ,Odisha,110640.0,25660.0,1648.2,10951147.2,26553.6,0.277
Niger seed,2003,Rabi       ,Odisha,19610.0,6170.0,1648.2,1940997.8,4706.4,0.38
Onion,2003,Whole Year ,Odisha,26550.0,240340.0,1648.2,2627919.0,6372.0,8.845666667
Other  Rabi pulses,2003,Rabi       ,Odisha,35250.0,20190.0,1648.2,3489045.0,8460.0,0.582592593
Other Kharif pulses,2003,Kharif     ,Odisha,27280.0,15020.0,1648.2,2700174.4,6547.2,0.506428571
Potato,2003,Whole Year ,Odisha,7303.0,75823.0,1648.2,722850.94,1752.72,9.688965517
Ragi,2003,Kharif     ,Odisha,70490.0,44575.0,1648.2,6977100.2,16917.6,0.4768
Rapeseed &Mustard,2003,Rabi       ,Odisha,15907.0,3065.0,1648.2,1574474.86,3817.68,0.169310345
Rice,2003,Kharif     ,Odisha,4501000.0,6801000.0,1648.2,445508980.0,1080240.0,1.516333333
Safflower,2003,Rabi       ,Odisha,1620.0,710.0,1648.2,160347.6,388.8,0.42875
Sesamum,2003,Kharif     ,Odisha,37716.0,7776.0,1648.2,3733129.68,9051.84,0.219333333
Small millets,2003,Kharif     ,Odisha,26570.0,11510.0,1648.2,2629898.6,6376.8,0.435789474
Sugarcane,2003,Whole Year ,Odisha,14565.0,858096.0,1648.2,1441643.7,3495.6,54.54655172
Sunflower,2003,Kharif     ,Odisha,820.0,470.0,1648.2,81163.6,196.8,0.608461538
Sunflower,2003,Rabi       ,Odisha,5230.0,3920.0,1648.2,517665.4,1255.2,0.647931034
Sweet potato,2003,Whole Year ,Odisha,47030.0,393560.0,1648.2,4655029.4,11287.2,8.454333333
Tobacco,2003,Whole Year ,Odisha,5310.0,3490.0,1648.2,525583.8,1274.4,0.537
Turmeric,2003,Whole Year ,Odisha,23780.0,56420.0,1648.2,2353744.4,5707.2,2.241
Urad,2003,Kharif     ,Odisha,135994.0,36794.0,1648.2,13460686.12,32638.56,0.256333333
Wheat,2003,Rabi       ,Odisha,5129.0,7517.0,1648.2,507668.42,1230.96,1.377407407
Bajra,2004,Kharif     ,Odisha,3155.0,1609.0,1290.4,341812.7,662.55,0.499230769
Castor seed,2004,Kharif     ,Odisha,11117.0,5670.0,1290.4,1204415.78,2334.57,0.461071429
Castor seed,2004,Rabi       ,Odisha,6956.0,3510.0,1290.4,753613.04,1460.76,0.446666667
Coriander,2004,Whole Year ,Odisha,19060.0,9107.0,1290.4,2064960.4,4002.6,0.482333333
Dry chillies,2004,Whole Year ,Odisha,76113.0,63240.0,1290.4,8246082.42,15983.73,0.830666667
Garlic,2004,Whole Year ,Odisha,11044.0,34918.0,1290.4,1196506.96,2319.24,3.158
Ginger,2004,Kharif     ,Odisha,15674.0,30368.0,1290.4,1698121.16,3291.54,1.825666667
Gram,2004,Rabi       ,Odisha,31811.0,19941.0,1290.4,3446403.74,6680.31,0.536
Groundnut,2004,Autumn     ,Odisha,30494.0,25117.0,1290.4,3303719.96,6403.74,0.715769231
Groundnut,2004,Summer     ,Odisha,54029.0,74074.0,1290.4,5853501.86,11346.09,1.136551724
Groundnut,2004,Winter     ,Odisha,3187.0,3522.0,1290.4,345279.58,669.27,1.036842105
